# fr-FR
"No match found","Aucune correspondance trouvée"
"Configuration disabled","Configuration désactivée"
"The cart doesn't match conditions","Le panier ne correspond pas aux conditions"
"The shipping method doesn't cover the zone","Le mode de livraison ne couvre pas la zone"
"The shipping method doesn't match to shipping origin","Le mode de livraison ne correspond pas à l'origine de livraison"
"The shipping method doesn't match to customer group (%s)","Le mode de livraison ne correspond pas au groupe client (%s)"
"Infinite loop %s","Boucle infinie %s"
"Non-existent property %s","Propriété inexistante %s"
"Error in table %s","Erreur dans la table %s"
"Invalid formula","Formule invalide"
"Unrecognized value of deprecated property %s %s","Valeur non reconnue de la propriété obsolète %s %s"
"Usage of deprecated syntax %s","Utilisation d'une syntaxe obsolète %s"
"Usage of unknown properties %s","Utilisation de propriétés non reconnues %s"
"Usage of deprecated properties %s","Utilisation de propriétés obsolètes %s"
"Usage of obsolete method to disabling a shipping method (`#` before `{`)%s","Utilisation d'une méthode obsolète pour désactiver une méthode de livraison (`#` avant `{`)%s"
"A semicolon is missing at the end of following lines %s","Il manque une virgule à la fin des lignes suivantes %s"
"Ignored lines %s","Lignes ignorées %s"
"The property `code` must be unique, `%s` has been found twice","La propriété `code` doit être unique, la valeur `%s` a été trouvée plusieurs fois"
"There are unwanted spaces after char `%s`","Il y a des espaces indésirables après le caractère `%s`"
"There are unwanted spaces before char `%s`","Il y a des espaces indésirables avant le caractère `%s`"
"There are unwanted multiples spaces `%s`","Il y a des espaces indésirables multiples `%s`"

"track the package","suivre le colis"

"Configuration","Configuration"
"{debug_help}","Affichage du debug sur le panier lors d'une estimation de livraison"
"{compression_help}","Compression gz + base64 pour que la configuration prenne moins de place (utile avec certaines configurations). C'est l'éditeur qui effectue la compression/décompression."
"Tracking URL","URL de suivi"
"Debug","Debug"
"Compression","Compression"
"Stop to first match","Arrêt à la première correspondance trouvée"
"Owebia Shipping module","Module Owebia Shipping"
"Weight unit","Unité de poids"

# OS2Editor
	# Owebia_Shipping2_Block_Adminhtml_System_Config_Form_Field_Config
		"Open editor","Ouvrir l'éditeur"
		"Help","Aide"
	# Owebia_Shipping2_AjaxController
		"Owebia Shipping 2 configuration editor","Éditeur de configuration Owebia Shipping 2"
		"Save","Sauvegarder"
		"Cancel","Annuler"
		"Close","Fermer"
		"Load","Charger"
		"Export","Exporter"
		"Add a shipping method","Ajouter une méthode de livraison"
		"New shipping method","Nouvelle méthode de livraison"
		"Delete","Supprimer"
		"Weight","Poids"
		"Products quantity","Quantité d'articles"
		"Quantity","Quantité"
		"Price including tax","Prix TTC"
		"Price excluding tax","Prix HT"
		"Not logged in","Non connecté"
		"Tracking number","Numéro de suivi"
		"Insert","Insérer"
		"Cart","Panier"
		"Selection","Sélection"
		"Product","Produit"
		"Display","Affichage"
		"Display original input","Afficher la saisie originale"
		"Display corrected names","Afficher les noms corrigés"
		"Display codes","Afficher les codes"
		"Display names","Afficher les noms"
		"Display identifiers","Afficher les identifiants"
		"Limit to","Limiter à"
		"Exclude","Exclure"
		"Destination country","Pays de destination"
		"Cart weight","Poids du panier"
		"Cart quantity","Nombre d'articles dans le panier"
		"Disabled","Désactivé"
		"Ignored lines","Lignes ignorées"
		"Correct","Corriger"
		"Apply changes","Appliquer les modifications"
		# Fields
			"Enabled","Activé"
			"Code","Code"
			"Label","Libellé"
			"Description","Description"
			"Destination","Destination"
			"Origin","Origine"
			"Conditions","Conditions"
			"Fees","Coûts"
			"Customer groups","Groupes utilisateur"
			"Tracking url","URL de suivi"
			"Comment","Commentaire"
		# Donate
			"You appreciate this extension and would like to help?","Vous appréciez cette extension et vous aimeriez apporter votre soutien ?"
			"Donate","Faire un don"
			"Support the development of Owebia Shipping 2 extension","Soutenir le développement de l'extension Owebia Shipping 2"
